title,cost_price,sale_price,description,img0,img1,img2,img3,img4,img5
Gold Kundan Mangtika Earring Necklace Set,7000,3500,"Take your festive wardrobe up a notch with this ethereal kundan set. Features a gold plated white kundan set that comes with pearl drop kundan earrings and a mangtikka. ,Style Tip: Be the star of the night by pairing this set with an ivory ensemble.",https://img.faballey.com/images/Product/ZNS00002/d3.jpg,https://img.faballey.com/images/Product/ZNS00002/d4.jpg,https://img.faballey.com/images/Product/ZNS00002/d5.jpg,https://img.faballey.com/images/Product/ZNS00002/d6.jpg,https://img.faballey.com/images/Product/ZNS00002/d7.jpg,
Dual Toned Oxidized Triangular Earrings Necklace Set,3800,1900,"This dual toned triangular statement oxidised set will instantly elevate your look. Featuring a distinctive triangular drop design necklace with hints of blue on a gold and silver form along with stud earrings, this set will pull your look together in a jiffy. , Pair the set with a solid colored outfit for maximal effect.",https://img.faballey.com/images/Product/ZNS00020/d3.jpg,https://img.faballey.com/images/Product/ZNS00020/d4.jpg,https://img.faballey.com/images/Product/ZNS00020/d5.jpg,https://img.faballey.com/images/Product/ZNS00020/d6.jpg,https://img.faballey.com/images/Product/ZNS00020/d8.jpg,
Gold Kundan Single Orb Earring Necklace Set,5800,2900,"Minimal, classy and evergreen, this kundan set features a sleek single kundan studded string and matching drop earrings , , Style Tip: Pair this set with a crisp white shirt and statement pants for that perfect fusion look.",https://img.faballey.com/images/Product/ZNS00010/d3.jpg,https://img.faballey.com/images/Product/ZNS00010/d4.jpg,https://img.faballey.com/images/Product/ZNS00010/d5.jpg,https://img.faballey.com/images/Product/ZNS00010/d6.jpg,,
Gold Kundan Pearl Drop Earring Necklace Set,4750,2375,"If you love kundan but want to keep it simple and classy this should be your pick! Features a gold plated white kundan necklace with a single pearl drop bead in the centre along with dangler earrings ,Style Tip: Pair this set with a classic bun to keep the look minimal and sophisticated.",https://img.faballey.com/images/Product/ZNS00017/d3.jpg,https://img.faballey.com/images/Product/ZNS00017/d4.jpg,https://img.faballey.com/images/Product/ZNS00017/d5.jpg,https://img.faballey.com/images/Product/ZNS00017/d6.jpg,,
Gold Kundan Red White Bead Earrimg Necklace Set,3500,1750,"This red and white kundan set steals the show for its traditional opulence and modern elegance. Features a necklace and earrings made of pearls, red beads and kundan. , Style Tip : Pair this set with a centre parted low bun for an old world charm.",https://img.faballey.com/images/Product/ZNS00036/d3.jpg,https://img.faballey.com/images/Product/ZNS00036/d4.jpg,https://img.faballey.com/images/Product/ZNS00036/d5.jpg,https://img.faballey.com/images/Product/ZNS00036/d6.jpg,,
Gold Kundan Pearl Drop Earring Necklace Set,3500,1750,"Accentuated with pearl drops and red meenakari work, this kundan set is a festive must-have. Features a kundan studded neckpiece and earrings , Style Tip : Pair this set with a cream saree and red lips for maximum effect.",https://img.faballey.com/images/Product/ZNS00040/d3.jpg,https://img.faballey.com/images/Product/ZNS00040/d4.jpg,https://img.faballey.com/images/Product/ZNS00040/d5.jpg,https://img.faballey.com/images/Product/ZNS00040/d6.jpg,,
Gold Orb Kundan Double Pearl Earrings Necklace Set,3500,1750,"For all those who shy away from statement pieces, this set is the perfect pick. Features a kundan studded choker with white pearls on either side, and stud earrings, Style Tip : Pair this set with a beaded clutch.",https://img.faballey.com/images/Product/ZNS00051/d3.jpg,https://img.faballey.com/images/Product/ZNS00051/d4.jpg,https://img.faballey.com/images/Product/ZNS00051/d5.jpg,https://img.faballey.com/images/Product/ZNS00051/d6.jpg,,
Gold Kundan Green Drop Double Orb Earring Necklace Set,4500,2250,"Glam up this festive season with this stunning, double layered kundan set. Features a double layered kundan necklace with green drop beads and matching earrings , , Style Tip : Style your hair in starlet waves to complement the elegance of the set.",https://img.faballey.com/images/Product/ZNS00038/d3.jpg,https://img.faballey.com/images/Product/ZNS00038/d4.jpg,https://img.faballey.com/images/Product/ZNS00038/d5.jpg,https://img.faballey.com/images/Product/ZNS00038/d6.jpg,,
Gold Kundan Green Drop Pearl Earring Necklace Set,3500,1750,"Set the tone for subtle glamour with this kundan and green drop set. Features a necklace crafted out of pearls, kundan and delicate green beads along with matching earrings. , Style Tip : Pair the set with a chandbali styled mangtika.",https://img.faballey.com/images/Product/ZNS00047/d3.jpg,https://img.faballey.com/images/Product/ZNS00047/d4.jpg,https://img.faballey.com/images/Product/ZNS00047/d5.jpg,https://img.faballey.com/images/Product/ZNS00047/d6.jpg,,
White Blue Diamond Earring Pendant Necklace Set,5250,2625,"Elevate your cocktail look with a glamourous dose of bling with this white and blue diamond set. Features a white diamond necklace with a statement blue focal stone. ,Style Tip: Pair this with an electric blue satin dress for a lush feel.",https://img.faballey.com/images/Product/ZNS00011/d3.jpg,https://img.faballey.com/images/Product/ZNS00011/d4.jpg,https://img.faballey.com/images/Product/ZNS00011/d5.jpg,https://img.faballey.com/images/Product/ZNS00011/d6.jpg,,
